"dates","variables","valores","unit","category","category_name","colorpinta","name"
"2022-06-08 12:00:00+00","PrDifFC P:1,2",80.4382006536335,"kpa",1,"Bajo","green","prdiffc_0102"
"2022-06-08 12:00:00+00","Chl-a",3.47685378789902," mg/m3",1,"Bajo","green","chl_comp"
"2022-06-08 12:00:00+00","ZSD",3.87845605611801,"NTU",1,"Bajo","green","zsd_compopt2"
"2022-06-08 12:00:00+00","T° Mar",16.7248888015747,"°C",1,"Bajo","green","sst_mur"
"2022-06-08 12:00:00+00","SPM",1.10614439845085,"g/m3",1,"Bajo","green","spm_compopt1"
"2022-06-08 12:00:00+00","ROP",1,"UR",1,"Bajo","green","rop"
"2022-06-08 12:00:00+00","ROC",1,"UR",1,"Bajo","green","roc"
"2022-06-08 12:00:00+00","GRI",1,"UR",1,"Bajo","green","gri"
"2022-06-08 12:00:00+00","SDI P:3,4",2.98737519328601,"%/min",1,"Bajo","green","sdipfc_0304"
"2022-06-08 12:00:00+00","SDI P:1,2",3.47402068956302,"%/min",1,"Bajo","green","sdipfc_0102"
"2022-06-08 12:00:00+00","FlujPerm_Planta",233.813429498666,"l/s",2,"Moderado","yellow","fperm_planta"
"2022-06-08 12:00:00+00","FlujPerm_EWS-E",192.349298743557,"l/s",4,"Crítico","red","fperm_ewse"
"2022-06-08 12:00:00+00","FlujPerm_EWS",237.976886938003,"l/s",1,"Bajo","green","fperm_ews"
"2022-06-08 12:00:00+00","PrDifFC P:3,4",62.1914704135366,"kpa",1,"Bajo","green","prdiffc_0304"
"2022-06-08 12:00:00+00","T° Intake",16.2459487722272,"°C",2,"Moderado","yellow","tintake"
"2022-06-07 12:00:00+00","ZSD",3.58376276493073,"NTU",1,"Bajo","green","zsd_compopt2"
"2022-06-07 12:00:00+00","SPM",1.11274701356888,"g/m3",1,"Bajo","green","spm_compopt1"
"2022-06-07 12:00:00+00","T° Mar",16.735424041748,"°C",1,"Bajo","green","sst_mur"
"2022-06-07 12:00:00+00","Chl-a",3.38362383842468," mg/m3",1,"Bajo","green","chl_comp"
"2022-06-07 12:00:00+00","GRI",1,"UR",1,"Bajo","green","gri"
"2022-06-07 12:00:00+00","ROP",2,"UR",2,"Moderado","yellow","rop"
"2022-06-07 12:00:00+00","SDI P:3,4",3.00705882486143,"%/min",1,"Bajo","green","sdipfc_0304"
